                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,2.1413,4.9695,1.2911,0.00792,0.00856,0.0046,0.00268,1.6885,4.7324,1.06,0.00011657,0.00011657,0.00011657
2,1.8903,3.7957,1.104,0.1798,0.38061,0.06573,0.032,1.715,3.4264,1.0855,0.00023361,0.00023361,0.00023361
3,1.8173,3.2225,1.0885,0.15672,0.24417,0.1002,0.0492,1.6794,2.8336,1.0881,0.00034867,0.00034867,0.00034867
4,1.7711,2.9055,1.0828,0.154,0.25257,0.15779,0.07299,1.736,2.6084,1.1031,0.00034808,0.00034808,0.00034808
5,1.7314,2.6234,1.0759,0.21608,0.48927,0.21598,0.10215,1.6861,2.2941,1.1093,0.00034808,0.00034808,0.00034808
6,1.6949,2.4384,1.0747,0.23762,0.48245,0.3133,0.1564,1.5978,2.1356,1.0832,0.00034511,0.00034511,0.00034511
7,1.688,2.2582,1.0701,0.27925,0.58927,0.36257,0.181,1.5887,1.9927,1.0752,0.00034214,0.00034214,0.00034214
8,1.6817,2.1367,1.0697,0.33052,0.58448,0.40658,0.21251,1.5695,1.8688,1.0583,0.00033917,0.00033917,0.00033917
9,1.667,2.056,1.0621,0.35467,0.67311,0.43077,0.21481,1.6165,1.7653,1.0934,0.0003362,0.0003362,0.0003362
10,1.6467,1.9195,1.0685,0.38882,0.6731,0.50162,0.26223,1.5712,1.7814,1.0639,0.00033322,0.00033322,0.00033322
11,1.6315,1.8292,1.0655,0.39975,0.70172,0.55917,0.30538,1.5065,1.592,1.0617,0.00033025,0.00033025,0.00033025
12,1.6222,1.7631,1.0605,0.43817,0.69537,0.60174,0.32659,1.53,1.4959,1.0639,0.00032728,0.00032728,0.00032728
13,1.5978,1.6596,1.0738,0.51822,0.70459,0.64741,0.35796,1.5289,1.412,1.064,0.00032431,0.00032431,0.00032431
