                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.499,                 6.9969,                 3.1837,                 4.2608,                 17.272,                 3.0727,                 0.5891,                0.06362,                0.19142,                0.05279,                 2.8811,                 18.792,                 1.8682,                 2.3985,                 21.723,                 1.7326,              0.0006618,              0.0006618,              0.0006618
                      2,                 2.5143,                 2.1504,                 1.7076,                  2.424,                 3.4326,                 1.6059,                0.47741,                0.51835,                0.47365,                0.15614,                 2.0521,                 14.228,                 1.4183,                 1.8716,                 14.117,                 1.3339,              0.0013153,              0.0013153,              0.0013153
                      3,                  2.167,                 1.7055,                 1.4784,                  2.129,                 2.7559,                 1.4103,                0.64215,                0.51739,                0.62625,                0.25162,                 1.7577,                  8.352,                 1.2438,                 1.6393,                 9.6535,                 1.2195,              0.0019556,              0.0019556,              0.0019556
                      4,                 2.0423,                 1.4984,                 1.3701,                 2.0181,                 2.3232,                 1.3019,                0.61812,                 0.6816,                0.69621,                 0.3275,                  1.689,                  9.386,                 1.1788,                 1.5384,                 8.0179,                 1.1374,              0.0019406,              0.0019406,              0.0019406
                      5,                  2.018,                 1.3803,                 1.3494,                 1.9451,                 2.0237,                 1.2627,                0.60617,                0.65258,                 0.6842,                0.28491,                 1.6663,                 7.2306,                 1.1788,                 1.5848,                 6.3195,                 1.1393,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.9404,                 1.2191,                 1.2987,                 1.9278,                  1.714,                 1.2511,                0.71218,                0.73081,                0.79694,                0.37336,                  1.563,                 4.0604,                 1.1209,                 1.5125,                 4.2181,                 1.1027,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.8706,                 1.1336,                 1.2657,                 1.8773,                 1.4897,                 1.2132,                0.77293,                0.78245,                0.85885,                0.42304,                 1.5265,                 3.7938,                 1.0985,                 1.5092,                 3.2412,                 1.0714,               0.001901,               0.001901,               0.001901
                      8,                 1.8253,                 1.0459,                 1.2354,                 1.8656,                 1.3189,                 1.1938,                0.79492,                0.76761,                0.86043,                0.42334,                 1.5042,                 2.6089,                 1.0978,                 1.4999,                 2.5829,                 1.0959,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.799,                 1.0432,                 1.2311,                   1.83,                 1.2564,                 1.1879,                0.81504,                0.82923,                0.89879,                0.45469,                  1.481,                 2.5464,                 1.0705,                 1.4576,                   2.19,                 1.0496,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.7623,                0.96871,                 1.2166,                 1.8078,                 1.1521,                 1.1818,                0.82285,                0.81893,                0.89054,                0.43651,                 1.5309,                  2.069,                  1.096,                 1.5174,                 1.9684,                 1.0888,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.7599,                0.91988,                 1.2086,                 1.8131,                 1.0799,                 1.1834,                 0.8335,                0.85171,                 0.9119,                 0.4654,                 1.4852,                 1.5832,                 1.0789,                 1.5101,                 1.5337,                 1.0737,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.7674,                0.93801,                 1.2053,                 1.8263,                  1.071,                 1.1722,                0.85458,                0.85405,                0.93009,                0.49457,                 1.4608,                 1.7655,                 1.0471,                 1.4253,                 1.4851,                 1.0403,               0.001802,               0.001802,               0.001802
                     13,                 1.7459,                0.91486,                 1.1851,                 1.7941,                 1.0239,                 1.1508,                0.77987,                0.82503,                0.87556,                0.42792,                 1.5898,                  2.416,                 1.1119,                 1.4758,                 2.1255,                 1.0639,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.7069,                0.91905,                 1.1855,                 1.7426,                 1.0591,                 1.1545,                0.85437,                0.83049,                0.91406,                0.47717,                 1.4921,                 1.3901,                 1.0793,                 1.4859,                 1.3018,                 1.0642,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.7071,                0.85348,                 1.1894,                 1.7552,                0.94635,                 1.1541,                0.85158,                 0.8734,                0.92895,                0.49111,                 1.4307,                 1.4286,                 1.0429,                 1.4466,                 1.1242,                 1.0354,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.6801,                0.85748,                 1.1831,                 1.7492,                0.89208,                 1.1503,                0.88576,                0.88217,                0.94717,                0.50718,                 1.4151,                 1.1011,                 1.0336,                 1.4302,                0.96989,                 1.0321,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.6712,                0.83343,                 1.1603,                 1.7405,                0.87261,                 1.1336,                0.88099,                0.88268,                0.94961,                 0.5176,                 1.4018,                 1.2852,                 1.0281,                 1.3987,                 1.0107,                 1.0208,               0.001703,               0.001703,               0.001703
                     18,                 1.6238,                0.80847,                 1.1483,                 1.7005,                0.83075,                 1.1239,                0.88683,                0.88665,                0.95508,                0.50164,                 1.4165,                 1.1124,                 1.0299,                   1.46,                0.91062,                 1.0403,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.6443,                 0.8117,                 1.1524,                 1.7332,                0.82374,                 1.1341,                0.90338,                0.89664,                0.95942,                0.53038,                 1.3724,                 1.0523,                 1.0149,                 1.4055,                0.83142,                 1.0263,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.6582,                0.80712,                 1.1604,                 1.7482,                0.83432,                 1.1353,                0.89271,                0.89401,                0.95804,                0.51478,                 1.3866,                 1.1887,                  1.022,                 1.4131,                0.94685,                  1.022,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.6567,                0.80835,                 1.1695,                 1.7063,                 0.8118,                 1.1414,                0.88836,                0.88192,                0.94587,                0.50595,                 1.4318,                 1.1954,                 1.0395,                 1.4474,                0.99042,                 1.0394,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.6572,                0.80912,                 1.1592,                  1.741,                0.79558,                 1.1369,                0.89494,                0.90431,                0.96094,                 0.5263,                  1.355,                0.99201,                 1.0105,                 1.4316,                0.78056,                 1.0314,               0.001604,               0.001604,               0.001604
                     23,                 1.6091,                0.77578,                 1.1425,                 1.7025,                0.74824,                  1.127,                0.90448,                0.90412,                0.96118,                0.51707,                 1.3754,                0.95942,                 1.0167,                 1.4684,                0.74313,                 1.0444,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.6034,                0.76125,                 1.1323,                 1.7021,                0.73319,                 1.1142,                0.90465,                0.90983,                0.96151,                 0.5292,                 1.3873,                0.84473,                 1.0183,                 1.4233,                0.70961,                 1.0246,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.6066,                0.77214,                 1.1373,                 1.6929,                0.72378,                 1.1203,                0.91912,                 0.9081,                0.96878,                0.54227,                 1.3538,                0.91869,                 1.0054,                 1.3912,                0.72476,                 1.0183,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.6017,                0.75166,                 1.1323,                 1.6838,                0.70472,                 1.1126,                0.91393,                0.91041,                0.96629,                0.53025,                 1.3839,                0.81234,                 1.0138,                 1.4261,                0.68249,                  1.021,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.6172,                0.75334,                 1.1419,                 1.7011,                0.69482,                 1.1177,                 0.9276,                0.91546,                0.96907,                0.54163,                 1.3491,                0.83437,                 1.0065,                 1.3963,                 0.6355,                 1.0129,               0.001505,               0.001505,               0.001505
                     28,                 1.5931,                 0.7575,                 1.1374,                 1.6867,                0.69612,                 1.1176,                 0.9139,                 0.9264,                0.96696,                 0.5319,                 1.3989,                0.95199,                 1.0151,                 1.4315,                0.68771,                 1.0167,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.5771,                0.73125,                 1.1235,                 1.6696,                0.66413,                 1.1036,                0.92494,                0.92512,                0.97546,                0.54158,                  1.365,                0.77298,                 1.0026,                 1.4054,                0.59105,                 1.0063,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.6133,                0.74775,                 1.1341,                 1.7059,                0.68561,                 1.1155,                0.92927,                0.92291,                0.97518,                0.54318,                 1.3639,                0.75399,                 1.0094,                 1.3936,                  0.609,                 1.0088,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.5833,                0.73398,                 1.1322,                 1.6762,                0.65353,                 1.1148,                0.93038,                0.93207,                0.97674,                 0.5494,                 1.3479,                0.77397,                 1.0032,                 1.4023,                0.58581,                 1.0081,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.5826,                 0.7334,                 1.1149,                 1.6725,                 0.6477,                  1.091,                0.93937,                0.93144,                0.97606,                0.55102,                 1.3553,                0.77479,                 1.0041,                 1.3967,                0.56434,                  1.007,               0.001406,               0.001406,               0.001406
                     33,                 1.5767,                0.72263,                 1.1214,                 1.6833,                0.63614,                 1.1036,                0.93737,                0.93803,                0.98055,                0.54129,                 1.3576,                0.75379,                0.99905,                 1.4331,                0.56082,                 1.0143,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.5487,                0.71972,                 1.1118,                 1.6494,                0.63832,                 1.1009,                0.93791,                 0.9276,                0.97266,                0.54719,                 1.3491,                0.84391,                 0.9995,                 1.4083,                0.59315,                 1.0107,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.5795,                0.72047,                 1.1248,                 1.6706,                0.61823,                 1.1055,                0.93747,                0.94027,                0.97879,                0.54621,                 1.3652,                0.79233,                 1.0066,                 1.4044,                0.58628,                 1.0113,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.5594,                0.70947,                 1.1238,                 1.6636,                0.60621,                   1.11,                0.93253,                0.94761,                0.98123,                0.55301,                  1.337,                0.73297,                0.99492,                  1.395,                0.51939,                 1.0043,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.5598,                0.69441,                 1.1056,                 1.6623,                 0.5968,                 1.0872,                0.92806,                0.91698,                0.97051,                0.53988,                 1.3998,                0.77068,                 1.0244,                 1.4258,                  0.579,                 1.0222,               0.001307,               0.001307,               0.001307
                     38,                 1.5541,                0.70598,                 1.1152,                 1.6597,                0.59547,                 1.0982,                0.94425,                0.94553,                0.98341,                0.56078,                 1.3325,                 0.6675,                0.99053,                 1.3789,                0.49653,                0.99652,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.5339,                0.69454,                 1.1102,                 1.6361,                 0.5831,                 1.0962,                0.94391,                0.93792,                 0.9825,                0.56084,                 1.3177,                0.67792,                  0.986,                  1.381,                 0.4821,                 1.0007,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.5589,                0.69721,                 1.0978,                 1.6614,                0.57539,                 1.0835,                0.94168,                0.94343,                 0.9823,                0.55217,                 1.3262,                 0.8203,                0.98975,                 1.4037,                 0.5436,                 1.0039,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.5283,                0.69711,                 1.1026,                 1.6332,                0.57804,                 1.0862,                0.94847,                0.94679,                0.98343,                0.56444,                  1.311,                0.67998,                0.98716,                 1.3689,                 0.5034,                0.99733,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5226,                0.68913,                 1.1006,                 1.6218,                0.56408,                 1.0833,                0.94205,                0.95563,                0.98243,                0.56914,                 1.3041,                 0.6462,                0.98135,                 1.3621,                0.45756,                0.99111,               0.001208,               0.001208,               0.001208
                     43,                 1.5079,                 0.6873,                 1.1024,                 1.6045,                0.56238,                 1.0818,                0.93856,                0.93291,                0.97985,                0.55871,                 1.3398,                 0.7536,                0.99634,                 1.3916,                 0.5452,                 1.0081,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5312,                0.69056,                 1.1126,                 1.6268,                0.57423,                 1.0938,                0.95637,                0.94509,                0.98284,                0.56783,                  1.313,                0.68147,                0.98472,                 1.3679,                  0.474,                0.99378,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5201,                0.68589,                 1.1001,                 1.6261,                 0.5603,                 1.0859,                 0.9477,                0.95273,                0.98367,                0.57127,                 1.3074,                0.70636,                0.98386,                 1.3567,                0.51267,                0.99289,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5372,                0.68515,                 1.1145,                  1.648,                0.58718,                 1.1004,                0.94502,                0.95075,                 0.9828,                0.55431,                 1.3446,                0.72414,                0.99159,                 1.3818,                0.50429,                0.99732,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5129,                0.66955,                 1.0976,                  1.616,                0.55587,                 1.0825,                0.95896,                0.94069,                0.98585,                0.56616,                 1.3129,                0.65311,                0.98603,                 1.3698,                0.45009,                0.99553,               0.001109,               0.001109,               0.001109
                     48,                 1.4985,                 0.6603,                 1.0947,                 1.6048,                0.53087,                 1.0787,                0.95789,                0.95188,                0.98579,                0.56981,                  1.299,                0.61697,                 0.9791,                 1.3648,                0.43518,                0.99247,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5391,                0.67301,                 1.1186,                 1.6288,                0.54661,                 1.1038,                0.95092,                0.95394,                0.98647,                0.56503,                 1.2968,                0.63119,                0.98181,                 1.3704,                0.44302,                0.99446,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5159,                0.66561,                 1.0932,                 1.6142,                0.54257,                 1.0762,                0.96381,                0.95352,                0.98818,                0.57665,                 1.2965,                0.61975,                0.97662,                 1.3443,                0.41537,                0.98298,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5262,                0.66992,                 1.1083,                 1.6202,                 0.5354,                 1.0932,                0.94737,                0.96531,                0.98714,                0.57171,                 1.3129,                0.62464,                0.98574,                 1.3632,                0.43289,                0.99465,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5187,                0.66505,                 1.1004,                 1.6134,                0.54003,                 1.0825,                0.96115,                0.95738,                0.98832,                0.57882,                 1.2875,                0.61568,                0.97421,                 1.3471,                0.43028,                0.98296,                0.00101,                0.00101,                0.00101
                     53,                 1.5192,                0.66445,                  1.109,                 1.6068,                0.53581,                  1.088,                0.95168,                0.96101,                 0.9866,                0.58051,                 1.2872,                0.58954,                0.97957,                 1.3429,                0.41262,                0.98903,              0.0009902,              0.0009902,              0.0009902
